date, Saudi_Arabia_Inflation_Rate, India_Inflation_Rate, US_Inflation_Rate, Vietnam_Inflation_Rate, South_Korea_Inflation_Rate,Thailand_Inflation_Rate, Switzerland_Inflation_Rate, UK_Inflation_Rate,Turkey_Inflation_Rate,UAE_Inflation_Rate, Indonesia_Inflation_Rate, Japan_Inflation_Rate,Malaysia_Inflation_Rate, Philippines_Inflation_Rate,Mexico_Inflation_Rate,Bangladesh_Inflation_Rate,Australia_Inflation_Rate,Singapore_Inflation_Rate,Hong_Kong_Inflation_Rate,Russia_Inflation_Rate,China_Inflation_Rate,Brazil_Inflation_Rate,Canada_Inflation_Rate
12/31/1960,0,1.7799,1.458,0,7.9656,-0.7659,1.4388,1.0036,5.6647,0,39.5904,3.5745,0.0632,4.1548,4.9275,0,3.7288,0,0,0,0,0,1.3587
12/31/1961,0,1.6952,1.0707,0,8.1957,7.387,1.8454,3.4475,3.1729,0,13.6919,5.3685,-0.1804,1.5956,1.6088,0,2.2876,0.4,0,0,0,0,1.0188
12/31/1962,0,3.6322,1.1988,0,6.6183,3.6961,4.316,4.1965,3.8883,0,131.3978,6.8354,0.1084,5.7967,1.199,0,-0.3195,0.4196,0,0,0,0,1.0616
12/31/1963,0,2.9462,1.2397,0,20.6916,0,3.4402,2.0185,6.3627,0,145.9108,6.7069,3.1053,5.6255,0.5941,0,0.641,2.2052,0,0,0,0,1.6282
12/31/1964,2.8,13.3553,1.2789,0,29.4628,-0.7921,3.0806,3.2816,1.1196,0,108.9947,3.8004,-0.4027,8.1831,2.3379,0,2.8662,1.7261,0,0,0,0,1.9121
12/31/1965,0.3891,9.4748,1.5852,0,13.5482,0.1663,3.4145,4.7738,4.5555,0,306.7631,6.656,-0.1055,2.5641,3.568,0,3.4056,0.1786,0,0,0,0,2.3327
12/31/1966,1.5504,10.8018,3.0151,0,11.2614,4.0352,4.776,3.9096,8.472,0,1136.2541,5.0408,0.968,5.4,4.2158,0,3.2934,2.0058,0,0,0,0,3.8157
12/31/1967,2.0992,13.0622,2.7728,0,10.8824,4.3097,4.0052,2.4821,13.9749,0,106,3.9898,4.5756,6.254,3.0169,0,3.4783,3.3428,0,0,0,0,3.58
12/31/1968,1.5888,3.2374,4.2718,0,10.7718,1.7904,2.3958,4.6974,6.0462,0,128.843,5.3394,-0.1583,2.3588,2.334,0,2.521,0.6554,0,0,0,0,4.0553
12/31/1969,3.4959,-0.5841,5.4624,0,12.3896,2.4504,2.489,5.4467,4.9242,0,15.4799,5.2498,-0.409,1.9555,3.367,0,3.2787,-0.2731,0,0,0,0,4.5616
