Year,Australia,Bangladesh,Brazil,Canada,Switzerland,China,United Kingdom,"Hong Kong SAR, China",Indonesia,India,Japan,"Korea, Rep.",Mexico,Malaysia,Philippines,Russian Federation,Singapore,Thailand,United States
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,2.206876308,0.0,0.0,3.084345022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.107884875
1962,5.57978873,0.0,0.0,4.341589341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.215345976
1963,3.276166865,0.0,0.0,3.491579406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.374882242
1964,1.727937523,0.0,0.0,2.837818691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.951669
1965,2.265164055,0.0,0.0,1.923199804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.565913126
1966,2.620765872,0.0,0.0,1.028484641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.649420629
1967,0.483660437,0.0,0.0,1.400162653,0.0,0.0,2.6469668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406227032
1968,3.257356442,0.0,0.0,2.740142284,0.0,0.0,2.11072154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.863911247
1969,1.070908831,0.0,0.0,2.987357392,0.0,0.0,0.568714232,0.0,0.0,0.0,0.0,0.0,0.0,4.036026803,0.0,0.0,0.0,0.0,2.851773364
