Year,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Syrian Arab Republic,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1991,7.8,10.65,4.42,4.21,10.31,11.62,1.87,5.44,1.6,9.58,3.42,0.9,1.51,6.99,1.49,2.58,2.2,11.1,1.01,12.17,17.55,0.6,9.7,2.96,6.31,22.67,4.7,1.41,13.82,5.62,10.32,9.25,1.78,5.96,5.23,2.37,6.61,7.5,2.93,20.07,10.12,5.11,11.27,5.37,16.05,7.9,3,2.27,5.32,29.36,9.1,6.35,20.6,2.4,5.36,2.45,4.99,6.91,4.37,9.38,8.25,5.32,15.93,1.47,3.08,8.5,4.58,6.5,4.06,9.13,17.78,8.55,2.7,3.49,4.45,8.83,6.19,8.13,7.66,2.59,3.51,11.93,6.75,1.8,4.58,4.88,11.14,7.51,8.5,4.55,4.41,3.67,3.06,2.62,3.93,5.6,15.78,11.1,9.13,2.55,13.39,10.1,15.74,19.51,2.1,0.9,3.12,1,0.73,2.41,0.88,5.84,2.53,8.37,2.23,19.85,16.91,6.12,3.85,4.75,14.66,4.75,4.26,36.12,3.62,1.1,1.48,2.7,3.01,12.6,1.9,4.95,0.89,11.13,3.15,4.22,24.5,3.52,6.15,0.75,11.86,25.42,6.39,2.71,9.93,9.63,5.61,3.65,7.16,19.14,18.07,1.35,4.12,6.93,7.28,5.41,1.77,10.61,6.76,4.01,11.71,0.62,3.73,4.56,3.78,2.54,12.98,5.16,16.18,2.3,3.92,5.1,11.6,2.75,6.3,11.97,0.81,8.07,5.41,0.3,5.02,7.07,15.55,5.57,2.18,1.32,3.46,7.53,19.19,13.33,6.51,11.91,6.51,12.27,14.38,17.07,11.58,7.08,3.24,21.81,6.75,0.68,2.4,5.97,3.66,2.63,1.9,1.4,5.99,3.54,11.86,1.31,5.02,6.51,18.52,15.65,8.21,3.6,0.94,1.9,3.82,8.95,6.8,1.9,19.77,9.45,12.35,2.09,1.68,4.8,2.1,8.32,29.95,18.9,4.94
1992,7.84,10.82,4.53,4.21,30.01,12.12,1.84,6.36,1.8,10.73,3.59,1.8,1.53,6.7,1.51,2.61,2.33,15.3,1.05,14.81,18.3,3.1,9.69,3.26,6.42,22.94,4.86,1.45,16.3,5.69,11.2,10.13,2.81,6.4,4.35,2.37,6.7,7.61,2.94,20.05,9.44,4.99,11.21,3.93,16.45,8.06,2.09,2.6,6.32,29.2,9.03,6.2,24.38,2.36,5.49,2.43,5.4,7.5,4.53,8.92,8.89,5.54,17.7,3.68,3.1,9.23,4.53,11.6,3.88,10.21,17.87,9.78,5.4,4.7,4.46,8.86,6.3,8.27,7.84,2.57,3.84,11.9,7.32,1.96,3.06,4.97,11.01,7.59,9.94,4.61,4.47,3.75,3.16,2.73,4.01,5.73,15.03,10.83,8.91,4.31,14.08,9.33,15.75,19.27,2.2,1,3.12,1.1,0.75,2.51,0.81,5.9,2.51,8.36,2.2,20.02,16.73,6.08,3.9,4.82,14.22,4.84,4.33,36.39,3.62,1.2,2.03,6.6,2.2,12.99,3.7,4.99,0.86,11.52,3.24,4.29,26.3,3.54,6.16,0.66,12.14,25.59,6.42,2.76,9.92,9.6,5.71,3.71,7.88,19.21,18.46,1.35,4.09,6.97,5.56,5.91,1.71,10.67,7.27,4.01,12.3,0.66,3.76,4.72,3.75,2.49,13.65,5.18,16.93,2.31,3.98,4.98,11.31,2.66,6.92,12.2,0.81,8.26,5.18,0.34,5.12,7.2,15.56,5.59,3.09,1.25,3.51,7.88,19.27,12.94,6.58,11.95,6.58,12.77,14.39,17.28,11.87,7.68,5.72,21.76,7.03,0.68,2.36,6.37,3.71,1.35,2.1,1.5,5.93,3.53,12.14,1.38,5.12,6.58,19.66,15.58,8.51,3.56,0.92,1.9,3.87,8.96,7.5,2.9,19.69,7.69,12.51,1.91,1.69,4.96,2.38,8.31,29.98,19.37,4.99
1993,7.85,10.72,4.55,4.23,25.26,12.86,1.85,10.1,5.3,10.87,4.25,4.5,1.56,8.08,1.41,2.58,2.36,16.4,1.01,12.72,19.32,8.5,9.78,3.08,6.03,24.54,4.82,1.41,18.76,5.72,11.38,11.53,3.72,7.38,4.49,2.69,5.85,7.8,2.94,20.07,7.8,4.99,11.19,3.95,16.62,8.28,2.7,4.32,7.68,29.19,10.72,6.27,26.23,2.61,5.64,2.69,6.16,8.67,4.56,10.92,10.68,5.73,22.16,6.54,3.05,10.82,4.52,16.2,3.96,11.32,17.78,10.35,5.4,5.27,4.45,8.9,6.35,8.37,8.61,2.61,5.53,11.88,7.85,1.96,3.12,4.99,10.68,7.55,12.1,4.85,4.68,3.85,3.32,2.78,4.08,5.69,15.59,10.44,8.89,5.26,12.74,10.24,16.32,19.7,2.5,1.11,3.1,3.4,0.8,2.88,0.8,5.96,2.55,8.44,2.17,20,16.8,6.09,3.92,4.87,13.82,4.94,4.54,36.74,3.88,13.8,2.33,16.7,2.06,13.1,3.7,5.08,0.84,12.06,3.37,4.52,27.7,3.47,6.18,0.7,12.83,25.8,6.27,2.69,9.88,9.61,5.64,4.11,7.35,19.38,18.5,1.38,4.1,7.05,6.29,5.97,1.72,9.8,7.75,4.07,13.01,0.56,3.8,4.5,3.7,2.43,14.39,5.18,16.91,2.42,5.3,5.06,11.29,2.75,7.5,12.22,0.81,8.36,5.88,0.41,5.08,6.85,15.56,5.59,3.07,1.4,3.46,9.94,19.16,12.82,6.6,11.98,6.6,13.3,14.39,15.64,12.2,8.51,9.33,21.73,7.4,0.7,2.62,7.09,3.79,1.49,6.2,1.5,5.94,3.52,12.84,1.3,5.08,6.6,19.81,15.83,8.96,3.5,1.16,2,4.19,8.35,6.9,4.9,19.74,6.6,12.7,1.97,1.73,5.23,2.63,8.35,29.92,19.7,4.97
1994,7.84,10.73,4.54,4.16,20.84,12.95,1.81,11.76,6.6,9.72,3.54,6.3,1.56,9.65,1.36,2.58,2.38,12.8,1.11,13.83,20.71,12.8,11.1,3.08,6.17,22.98,5.03,1.43,21.2,5.72,10.4,11.37,3.88,7.57,5.87,2.9,4.99,7.81,2.92,20.09,8.25,5,11.12,4.05,15.78,8.14,2.7,4.3,8.73,29.02,8.04,6.36,27.74,2.91,5.95,2.96,7.78,9.67,4.44,10.93,11.76,5.9,24.21,7.56,3.1,11.5,4.64,16.43,3.9,12.59,17.72,9.65,8.4,5.86,4.47,8.95,6.36,8.43,8.86,2.62,7.6,11.86,7.85,1.9,3.25,5,10.63,7.61,10.85,5.22,5.01,3.95,3.54,4.37,4.13,5.74,14.57,10.05,8.97,5.33,9.93,11.09,15.34,17.17,2.9,7.54,3.08,4.7,1.33,2.48,0.7,6.35,2.47,8.49,2.15,19.91,17,6.55,3.94,4.9,13.03,5.16,4.86,36.98,4.26,13.8,3.48,18.7,2.48,12.94,5.8,5.19,0.81,11.98,4.44,4.86,30,3.43,6.2,0.69,12.87,26.72,6.14,2.71,9.93,9.6,5.76,3.65,6.55,19.4,18.38,1.38,4.09,7.01,7.16,5.35,1.89,8.35,7.83,4.11,13.41,0.59,3.81,4.25,3.63,2.65,14.83,5.13,14.6,2.54,6.71,4.41,11.15,2.74,7.51,12.13,0.82,8.17,8.13,0.47,5.12,6.41,15.56,5.61,3.03,1.36,3.47,7.68,19.33,13.4,6.59,12.02,6.59,13.36,14.37,12.7,13.65,8.24,9.58,21.71,7.5,0.69,2.92,8.47,3.7,1.35,8.8,4.7,6.44,3.54,12.89,1.66,5.12,6.59,18.44,15.86,8.58,3.44,1.42,2,4.62,9.04,6.12,7.3,20.19,8.56,12.47,1.93,1.59,5.49,3.04,8.34,29.89,18.43,4.96
1995,7.83,11.18,4.53,4.11,14.61,13.32,1.8,18.8,6.7,8.47,4.35,7.2,1.58,9.34,1.25,2.53,2.48,11.1,1.08,10.83,21.77,17.7,12.48,2.75,6.42,19.66,5.18,1.45,21.37,5.7,9.49,10.84,3.33,7.3,4.7,3,4.1,7.93,2.9,20,8.72,4.91,11.12,5.18,15.36,8.27,2.6,4.02,8.16,28.94,6.99,6.33,31.84,2.99,6.27,3.03,9.12,9.96,4.59,11.04,11.44,6.04,22.67,9.66,3.21,11.06,5.2,17,3.94,11.84,17.63,8.69,7.6,6.44,4.48,8.97,6.34,8.47,9.06,2.61,7.9,11.88,7.45,3.22,3.24,4.98,10.17,7.26,10.17,5.53,5.27,3.99,3.63,4.6,4.15,5.76,11.98,9.57,8.96,5.2,8.78,11.67,16.23,14.6,3.2,10.98,3.06,5.6,0.78,2.06,0.7,7.6,2.6,8.52,2.09,20.03,15.83,7.72,3.95,4.91,12.27,5.33,5.14,37.34,4.41,17.54,2.92,19,3.58,13.53,5.3,5.28,0.79,12.2,7.1,5.16,35.6,3.4,6.22,0.69,13.33,27.55,6.05,2.73,9.83,9.59,5.63,3.15,6.03,21.06,18.15,1.39,4.06,7,7.16,6.31,1.74,6.46,7.61,4.1,13.86,0.6,3.79,4.48,3.63,2.84,13.7,5.08,13.93,2.55,7.06,3.4,11.1,2.8,7.39,12.1,0.82,8.01,9.45,0.5,5.13,6,15.46,5.57,3.3,1.36,3.48,7.65,19.14,13.4,6.58,12,6.58,13.57,14.38,8.39,13.11,7.15,8.9,21.65,7.2,0.72,3,9.47,3.76,1.1,10.3,8.3,7.65,3.53,13.34,1.98,5.13,6.58,17.22,15.94,7.64,3.36,1.65,5.62,5.01,10.02,5.65,7.8,19.99,10.24,12.13,1.9,1.74,5.63,3.19,8.96,29.89,16.81,5.63
1996,7.84,10.96,4.57,4.1,13.93,12.38,1.9,17.11,9.3,8.51,5.28,8.1,1.59,9.48,1.18,2.47,2.51,12.5,1.08,11.46,22.77,24.4,13.82,2.44,7.25,14.71,5.24,1.42,21.59,5.74,9.62,10.18,3.71,7.23,7.41,3.12,4.09,8.06,2.9,19.98,11.81,4.9,11.11,6.16,15.01,7.61,3.1,3.89,8.82,28.84,6.84,6.34,28.53,3.1,6.16,3.15,10.06,10.32,4.65,9,11.67,6.07,22.14,9.92,3.31,11.1,5.53,15.57,3.9,12.37,17.58,8.19,11.5,7.02,4.49,8.99,6.39,8.53,9.66,2.68,8.28,11.84,7.42,2.83,4.37,5,9.68,7.3,10.02,5.63,5.36,4.12,3.88,4.86,4.22,5.74,11.72,9.1,8.87,3.6,8.46,11.87,16.01,13.7,3.4,12.96,3.05,7.3,0.84,2.05,0.7,7.82,2.49,8.49,2.05,19.83,16.33,8.07,3.96,4.92,11.35,5.36,5.24,37.59,4.59,16.4,3.29,20.7,4.25,13.17,7.9,5.37,1.03,11.28,5.47,5.26,38.8,3.33,6.24,0.7,12.3,27.91,6.16,2.7,9.84,9.5,5.7,2.52,5.86,22.77,18.64,1.42,4.03,7.05,6.42,5.04,1.82,6.29,7.55,4.13,14.11,0.6,3.78,4.72,3.59,2.65,12.68,5.05,13.64,2.6,7.3,8.15,11.03,2.87,7.56,12.07,0.83,6.74,9.67,0.56,5.09,5.56,15.42,5.6,3.57,1.53,3.45,7.68,19.1,13.2,6.6,12.01,6.6,13.66,14.39,10.88,11.34,6.91,9.55,22.08,7.29,0.73,3.11,10.09,3.79,1.07,13.4,10.3,8.03,3.51,12.31,2.49,5.09,6.6,16.25,15.83,6.63,3.29,1.92,7.65,5.18,11.93,5.45,10.7,20.38,11.77,12.21,1.93,1.72,5.7,3.47,9.59,29.87,15.3,6.25
1997,7.86,10.78,4.6,4.09,16.88,11.95,1.98,14.82,10.8,8.36,5.15,9.1,1.57,8.96,1.1,2.47,2.69,13.7,1.09,9.76,23.61,17.1,12.68,2.08,8.16,14.61,5.19,1.4,21.17,5.76,9.1,9.16,4.2,7.01,7.14,3.23,4.11,7.93,2.91,20.01,12.14,4.83,11.08,5.68,14.85,7.1,3.4,4.27,9.86,28.7,5.4,6.31,25.43,3.2,5.98,3.24,11.1,10.55,4.51,8.37,11.67,6.08,20.7,10.37,3.47,10.87,5.68,14.97,4.03,12.57,17.48,7.07,11.5,7.61,4.49,9,6.41,8.56,9.58,2.65,9.67,11.84,7.13,2.22,3.32,4.99,9.71,7.28,8.99,5.69,5.42,4.15,3.88,4.68,4.27,5.61,10.2,9.78,8.77,3.72,9.75,12,16.35,13.69,3.4,13.01,3.06,7.5,0.91,2.61,0.7,7.67,2.38,8.62,2.05,19.83,20.47,7.89,4,4.94,10.6,5.35,5.32,37.94,4.85,14.13,2.53,14.9,3.26,13.71,7.9,5.47,1.27,11.07,4.24,5.35,36,3.3,6.26,0.71,12.04,27.96,6.12,2.7,9.89,9.43,5.73,2.45,5.41,24.45,18.26,1.43,4.01,7.17,5.51,4.69,1.83,6.86,7.25,4.09,14.34,0.54,3.77,4.59,3.62,2.89,10.96,5.01,13.8,2.68,6.57,5.36,10.83,2.99,7.36,11.93,0.83,5.51,11.81,0.61,4.98,5.15,15.33,5.6,2.5,1.61,3.47,7.98,19.14,13.8,6.63,12,6.63,13.78,14.39,10.56,11.89,6.65,10.36,22.5,7.39,0.75,3.21,10.73,3.81,0.87,13.9,11,7.86,3.56,12.05,2.89,4.98,6.63,15.01,15.94,6.84,3.24,2.21,8.93,5.34,11.44,5,10.9,20.44,11.16,12.12,2.87,1.68,5.7,3.9,10.2,29.91,13.64,6.93
1998,7.81,10.8,4.66,4.07,20.05,11.97,2.14,12.65,9.4,7.68,5.52,10,1.56,9.32,1.02,2.44,2.9,12.2,1.08,7.65,24.49,14,14.31,2.13,9.42,12.4,5.33,1.4,20.86,5.71,8.28,8.95,3.6,6.57,7.31,3.24,4.1,7.82,2.9,19.96,15,4.81,11.05,5.33,14.14,6.23,3.3,5.9,9.79,28.58,5.04,6.36,26.66,3.37,6.1,3.53,12.23,10.74,4.61,8.03,11.19,6.01,18.67,9.51,3.62,10.44,5.95,13.21,3.95,12.07,17.43,6.2,14.53,8.2,4.52,9.04,6.35,8.5,10.84,2.65,7.74,11.89,7.05,4.58,4.02,5.02,11.39,7.25,8.93,5.92,5.63,4.27,4.05,5.46,4.37,5.67,7.7,10.38,8.76,3.07,10.75,12.12,15.5,13.7,4.1,13.13,3.03,8.9,0.94,6.96,0.7,8.1,2.42,8.49,2.05,19.79,21.6,8.26,4.05,5,9.17,5.54,5.54,37.16,5.13,13.71,2.76,14.46,4.61,13.61,10,5.57,1.5,11.23,3.73,5.58,34.5,4.05,6.28,0.71,12.23,28.12,6.14,2.74,9.83,9.35,5.75,3.2,4.89,23.08,18.42,1.41,4,7.24,4.39,3.74,1.78,7.72,7.22,4.14,14.06,0.56,3.77,4.95,3.81,2.9,9.94,4.99,13.46,2.83,4.65,4.42,10.72,2.99,7.38,11.61,0.83,5.63,13.26,0.68,5.02,4.72,15.35,5.58,3.41,1.59,3.45,7.1,19.08,13.7,6.62,12.05,6.62,13.42,14.37,10.63,12.19,7.39,8.94,23.08,7.45,0.76,3.37,11.61,3.91,3.4,16.5,12.2,8.26,3.61,12.24,3.24,5.02,6.62,14.21,15.61,6.89,3.19,2.47,11.32,5.61,9.36,4.51,13.3,20.57,11.15,11.86,2.29,1.76,5.86,4.18,10.81,29.95,12,6.46
1999,7.79,10.81,4.86,4.05,20.84,12.11,2.22,14.05,11.2,6.87,4.7,10.9,1.58,8.65,0.94,2.51,3.06,14.1,1.09,7.45,25.09,12.8,12.84,2.44,10.21,10.61,5.57,1.4,18.29,5.68,7.58,10.39,3.15,6.24,11.16,3.25,4.34,7.7,2.9,19.99,20.06,4.77,11.03,5.9,13.93,6.26,5.7,8.49,8.86,28.43,5.14,6.39,28.3,3.45,6.3,3.63,12.37,10.64,5.18,7.95,10.44,5.95,15.48,11.57,3.71,10.18,6.16,11.69,3.79,11.98,17.49,6.04,13.8,10.1,4.53,9.05,6.32,8.49,11.85,2.7,13.95,11.84,6.92,6.25,3.85,5.16,13.56,7.2,6.93,6.16,5.83,4.33,4,6.36,4.48,5.74,5.8,11.02,8.75,2.18,11.18,11.69,15.74,13.71,4.7,13.46,3.02,8.4,0.9,6.34,0.7,8.79,2.11,8.44,2.08,19.75,18.09,9.14,4.12,5.11,8.88,5.71,5.7,36.35,5.36,13.39,2.39,13.79,6.35,13.94,11.14,5.68,1.74,11.5,2.6,5.74,32.4,4.82,6.3,0.67,12.55,27.59,6.16,2.77,9.81,9.3,5.77,3.43,4.56,21.69,17.83,1.47,3.99,7.21,3.62,3.25,1.85,7.02,7.18,4.18,13.97,0.57,3.82,4.9,3.69,2.82,12.29,5.02,11.81,2.97,4.58,5.34,10.64,2.96,7.11,11.71,0.84,6.24,13.04,0.74,5.07,4.35,15.31,5.58,4.85,1.66,3.45,6.68,19.06,13.7,6.69,12.06,6.69,13.3,14.37,13.6,15.95,7.32,7.61,23.65,7.6,0.79,3.46,12.01,3.93,2.97,15.4,12.7,9.18,3.93,12.57,3.58,5.07,6.69,13.12,15.21,7.69,3.12,2.71,11.86,5.76,10.47,4.22,13.3,20.77,14.53,11.5,2.33,1.78,5.97,4.48,11.46,29.91,12.44,6
2000,7.72,10.81,4.92,4.03,19.03,12.6,2.25,15,11.05,6.28,4.69,11.78,1.59,6.59,0.85,2.61,3.27,16.22,1.08,7.2,25.78,12.26,10.85,2.38,9.56,9.35,5.68,1.59,15.88,5.61,6.83,12.43,2.67,5.66,10.49,3.26,4.58,7.59,2.9,19.9,20.52,4.68,10.98,5.08,13.38,5.45,4.97,8.76,7.92,28.34,4.48,6.43,29.77,3.41,6.24,3.54,10.97,9.82,4.8,8.98,9.43,5.88,13.79,13.36,3.51,9.83,6.14,11.13,3.99,10.22,17.34,5.56,10.82,10.46,4.55,9.08,6.25,8.45,11.25,2.72,15.32,11.86,6.53,4.92,3.84,5.22,16.06,8.4,6.56,6.02,5.72,4.36,3.86,6.08,4.59,5.56,4.32,11.57,8.73,1.94,11.1,10.84,15.54,13.7,4.75,12.75,3.02,7.54,0.97,4.06,0.8,8.7,2.06,8.31,2.08,19.67,16.49,9.01,4.18,5.2,7.74,5.63,5.54,35.46,5.18,15.93,2.35,14.21,6.87,13.58,8.46,5.8,1.97,12.04,2.65,5.57,32.2,5.63,6.32,0.65,13.18,28.59,6.23,2.85,9.85,9.18,5.79,3,4.28,20.3,17.48,1.49,3.95,7.35,2.73,3.46,1.86,6.13,6.78,4.09,13.66,0.58,3.81,4.88,3.65,2.92,16.31,5.06,10.08,2.93,3.81,7.61,10.63,3.18,6.53,11.67,0.84,6.97,10.58,0.79,4.93,4.57,15.23,5.61,3.7,2.03,3.43,6.96,19.05,12.6,6.67,12.06,6.67,12.97,14.4,12.74,19.06,6.92,5.47,24.24,9.6,0.81,3.41,11.25,3.98,2.39,15.13,11.54,9.08,3.41,13.2,4.08,4.93,6.67,12.1,14.94,6.5,3.06,3.03,11.71,5.52,12.63,3.99,12.23,20.95,13.99,11.11,2.26,1.69,5.77,4.66,11.56,29.88,12.93,5.69
